Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,0.0,0.04,0.77,0.58,1.08,1.49,2.63,4.5,7.22,14.02,57.91,23.63,27.94,27.42,26.89,-30.72,51.24,23.71,39.25,63.66,162.45,57.11
Sudan,0.0,0.01,0.0,0.09,0.1,0.01,0.19,0.12,0.36,1.39,1.24,4.56,6.6,1.91,3.33,6.31,9.58,23.69,21.0,36.64,18.73,54.0
Bosnia and Herzegovina,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.99,5.83,1.0,5.95,1.88,2.15,4.2,12.54,21.62,50.95
Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,1.27,1.34,1.8,2.06,49.0
Republic of Moldova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.33,-0.27,0.94,2.0,-0.7,10.18,45.82
Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,3.7,15.0,14.0,14.8,8.0,4.2,7.7,17.1,23.7,29.8,44.0
Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,3.4,2.1,3.0,3.0,3.03,-0.21,40.18,5.44,2.48,43.96
Luxembourg,0.16,1.43,12.58,9.39,0.02,0.12,0.23,0.63,1.8,3.09,11.22,33.98,20.37,14.91,6.34,5.63,6.2,2.52,29.12,26.9,90.52,42.0
Niger,0.1,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.04,18.0,0.0,0.0,0.0,35.0
Argentina,0.94,0.0,0.0,-0.87,-0.09,-0.07,0.0,0.0,0.0,1.67,2.09,5.03,2.04,0.0,-0.04,-0.03,0.18,182.52,249.92,322.26,307.51,34.69
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.57,0.45,0.48,0.93,0.39,34.91,14.9,2.13,-0.23,1.75,30.0
Syrian Arab Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.25,1.09,9.05,21.48,27.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.7,0.0,0.0,0.0,0.04,0.0,25.0
Namibia,0.18,0.35,0.06,0.02,0.01,0.29,0.56,0.54,0.66,0.57,3.14,3.72,3.52,1.88,4.5,15.0,38.81,24.25,52.44,0.0,0.0,25.0
Somalia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,4.5,2.22,0.18,0.0,8.47,8.0,23.5
Senegal,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.26,0.31,0.72,1.5,1.11,1.1,2.0,0.0,29.0,71.0,41.0,23.0,0.0,66.5,23.0
Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,1.0,1.4,1.41,2.06,14.55,11.19,11.77,3.76,40.94,-3.98,-4.05,22.9
Nepal,0.48,0.34,0.4,0.19,0.41,-0.1,-0.18,0.44,1.76,0.52,4.18,0.78,1.57,0.72,1.84,0.19,41.03,0.83,-1.35,16.15,26.29,20.18
Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,40.0,720.0,532.0,33.0,46.0,2.2,11.71,11.89,-15.17,11.29,20.0
Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,1.0,2.0,8.0,23.0,54.0,83.0,63.0,109.0,384.0,672.0,731.0,837.0,20.0
Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,19.63
Malta,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.7,-0.1,4.5,10.4,12.8,26.1,20.2,18.8,18.16,20.13,23.3,32.71,17.76,15.34
State of Palestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.0,2.4,9.0,13.0,10.0,5.0,41.83,35.5,60.5,14.0
Zimbabwe,0.16,0.0,0.0,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.72,1.07,0.73,-0.18,0.35,2.2,3.49,3.27,2.24,13.87,13.31
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.04,0.03,0.25,0.22,0.98,2.12,60.75,24.49,153.67,5.74,5.03,4.25,8.68,12.86
