Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
United Kingdom of Great Britain and Northern Ireland,3.72,4.01,4.25,4.66,4.96,5.97,6.47,7.13,8.23,9.49,10.28,13.62,16.56,21.39,25.75,31.95,36.34,38.77,41.26,45.31,46.32,47.88,49.58,51.7
Australia,16.04,16.19,15.39,15.28,15.87,18.07,18.19,18.11,18.08,18.12,18.49,19.13,20.97,22.8,24.24,23.96,25.93,29.08,33.58,38.26,42.22,45.02,48.07,51.5
Italy,23.71,24.04,24.48,24.48,23.93,23.69,23.06,23.07,23.46,25.37,27.68,34.36,37.5,39.24,40.68,43.1,44.84,45.63,46.14,46.7,47.68,48.53,49.38,51.43
Réunion,34.52,34.52,30.95,30.95,31.0,31.54,31.14,31.63,32.36,34.15,39.68,43.03,42.6,40.17,43.92,45.31,45.45,45.55,48.23,48.72,49.21,50.2,50.84,51.09
North Macedonia,30.43,30.43,30.43,30.47,34.94,34.87,34.91,34.96,35.2,34.58,33.82,33.94,35.11,36.05,38.77,40.0,39.47,39.85,40.0,40.19,42.61,38.65,42.54,50.76
Rwanda,93.97,93.97,93.97,93.97,93.97,73.11,57.57,57.78,57.78,43.42,48.56,51.21,51.68,53.45,58.96,51.64,49.32,50.36,50.73,53.61,55.66,55.9,50.36,50.36
Belize,64.61,64.61,63.68,43.47,43.47,46.67,39.45,40.8,40.8,39.59,45.97,45.97,46.11,46.12,46.12,46.12,46.12,48.41,48.51,50.01,50.01,50.01,50.01,50.01
China,23.7,23.42,23.29,23.62,23.34,22.27,20.66,20.47,22.03,23.44,24.18,25.19,26.27,28.54,30.3,31.7,33.11,35.23,36.58,37.74,40.72,42.81,45.07,49.77
Liberia,6.42,6.42,6.42,6.42,6.17,6.17,6.17,5.8,5.8,5.8,5.21,5.09,5.09,5.07,5.16,5.18,21.82,48.9,49.01,49.12,49.36,49.44,49.6,49.6
Sudan,58.76,58.76,56.71,36.46,28.59,30.03,29.05,28.66,21.58,48.31,44.47,44.5,46.32,46.43,46.46,46.48,46.09,46.24,47.39,47.65,48.17,48.43,49.16,49.16
