Region/country/area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,0.0,0.0,0.0,7.300000000000004,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.199999999999996,-0.19999999999999574,0.0,0.0,0.0
BES Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Br Virgin Is,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cayman Is,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,45.5,24.59999999999991,8.0,0.0,107.90000000000009,188.5999999999999,17.5,42.200000000000045,-12.899999999999864,8.399999999999864,93.40000000000009,13.5,19.399999999999864,29.100000000000136,445.29999999999995,94.19999999999982,22.41000000000031,-29.440000000000055,-11.409999999999854,47.59999999999991,-48.340000000000146
Cuba,0.0,0.0,1.1000000000000014,-10.299999999999997,0.0,-7.300000000000004,19.200000000000003,-2.200000000000003,4.600000000000001,2.5,-2.8999999999999986,0.6999999999999957,0.0,0.0,3.1000000000000085,0.0,-1.9000000000000057,7.900000000000006,0.0,0.0,0.0
Curacao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,-2.84,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Rep,0.0,0.7099999999999795,0.0,0.009999999999990905,0.9000000000000341,0.0,3.2199999999999704,54.98000000000002,0.01999999999998181,0.09000000000003183,89.66999999999996,0.2699999999999818,3.1900000000000546,0.2799999999999727,0.12000000000000455,0.12999999999999545,0.08000000000004093,0.13999999999998636,7.3700000000000045,0.0,1.8600000000000136
