Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Kazakhstan,2260.0,2260.0,2260.0,2260.0,2263.0,2249.06,2251.08,2251.6,2263.39,2265.2,2274.27,2275.0,2577.94,2608.06,2804.86,2893.23,2951.08,3015.14,3368.74,4213.8,4997.44,5421.64,5954.06
Korea DPR,4592.0,4792.03,4812.04,4812.26,4812.34,4812.36,4812.42,4942.46,4487.69,3918.84,3959.15,3961.89,4262.49,4289.34,4304.16,4489.99,4732.73,4796.38,4828.38,4832.38,4907.38,4917.38,4917.38
Korea Rep,1613.5,1691.5,1663.5,1662.0,1678.0,1761.0,1915.5,1980.0,2380.5,2607.5,2818.5,3321.7,3687.2,4329.7,5715.7,7216.7,9353.7,11442.2,13950.5,18053.5,20411.36,24365.26,27241.48
Kyrgyzstan,2943.4,2943.4,2943.4,2943.4,2943.4,2943.4,2943.4,2944.2,2944.2,2944.2,3064.2,3071.5,3071.5,3571.5,3670.9,3676.5,3676.78,3688.6,3673.1,3673.1,3673.6,3673.6,3673.6
Lao PDR,539.64,540.84,541.03,541.18,541.41,582.78,582.8,582.8,582.8,1733.8,2448.81,2453.51,2922.51,2968.17,3253.03,4354.84,4931.13,5184.0,5553.52,6380.52,8164.72,8932.33,9622.33
Malaysia,2761.02,2750.23,2787.23,2801.23,2801.02,2756.02,2803.03,2828.48,2835.12,2840.68,2796.86,3895.27,4247.85,5718.18,6396.93,7563.03,7991.14,7339.28,7520.53,7961.9,8570.91,8898.2,9044.31
Maldives,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.07,1.48,1.55,1.57,1.59,2.73,3.16,5.29,6.21,8.9,12.2,17.89,22.26,28.36,32.46,37.46
Mongolia,15.03,16.11,16.11,16.47,16.47,17.04,17.97,18.42,22.07,22.33,34.27,34.27,34.6,84.64,84.64,84.64,96.82,179.92,251.42,276.22,279.58,279.77,379.77
Myanmar,344.1,349.59,376.5,378.68,455.46,736.33,751.24,783.93,814.31,1467.59,2256.37,2585.96,2720.79,2865.31,3043.31,3267.08,3345.62,3400.17,3408.62,3451.61,3447.62,3443.58,3466.48
Nepal,288.2,409.45,415.49,568.32,578.27,582.04,585.93,591.83,601.25,697.98,708.38,719.47,725.0,761.31,777.63,833.63,854.23,1000.36,1121.23,1241.09,1378.31,2094.73,2341.91
