Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Morocco,710.6,862.3,842.0,1441.1,1591.3,964.6,982.8,901.8,915.8,2568.5,3467.8,2005.4,1631.0,2785.0,1637.4,1885.3,1255.7,1184.7,1693.44,1262.78,867.64,818.31,350.21
Mozambique,8836.0,11841.0,12674.0,10870.0,11668.0,13264.0,14717.0,16063.0,15114.75,16950.32,16641.7,16484.97,14862.47,14663.04,16187.14,17091.31,15614.51,14067.39,13909.76,14828.65,15713.61,15476.53,16183.62
Myanmar,1896.35,2012.67,2115.44,2079.23,2412.17,3005.26,3329.09,3623.15,4075.85,5261.15,6193.33,7549.34,7771.51,11315.69,10297.97,10639.05,12126.4,13211.62,14647.71,12897.2,11175.81,11891.51,11454.83
Namibia,1303.5,1316.5,1456.0,1428.5,1511.5,1584.0,1527.0,1468.5,1108.5,979.0,1270.5,1506.0,1439.5,1378.5,1493.5,1430.5,1477.0,1369.5,1049.0,1229.5,1236.9,874.9,1052.0
Nepal,1508.63,1717.34,1966.54,2155.24,2298.48,2459.82,2626.52,2764.17,2795.71,2769.31,2976.78,3359.76,3523.21,3498.6,3609.02,3587.73,3825.11,4422.84,4744.98,5520.86,6186.49,7917.84,10175.81
Netherlands,142.43,117.28,110.0,72.0,95.0,88.0,106.0,107.0,102.0,98.0,105.0,57.0,104.39,114.31,112.2,92.7,100.08,60.76,72.35,74.18,46.07,88.24,50.0
New Caledonia,441.52,366.95,320.43,323.11,325.53,339.29,288.45,390.13,460.05,398.41,264.66,375.74,397.85,456.33,289.22,340.41,231.84,361.04,317.24,284.77,305.0,424.92,538.61
New Zealand,24433.0,21679.0,24870.0,23620.0,27237.0,23325.0,23571.0,23638.0,22346.0,24215.0,24724.0,25108.0,22894.0,23027.0,24316.0,24528.0,25933.0,25173.0,26252.0,25596.0,24266.0,24232.0,26274.0
Nicaragua,209.56,196.81,303.81,297.98,321.53,433.61,308.05,306.57,534.45,296.71,503.15,443.7,418.63,456.06,395.88,295.11,426.69,467.58,410.89,226.27,573.61,598.14,649.24
Nigeria,6441.6,6193.53,6390.49,7752.76,8086.88,13070.19,10590.85,7776.0,7443.0,7439.0,7192.0,5227.09,5306.69,6121.72,6143.72,6423.32,8150.38,7746.76,7694.83,8433.18,7871.91,9153.81,9235.35
North Macedonia,1170.0,626.0,757.0,1374.0,1481.99,1491.78,1649.59,1010.03,840.09,1270.35,2431.47,1433.12,1040.77,1583.97,1206.65,1865.19,1897.34,1110.28,1791.37,1163.67,1277.14,1451.62,1345.32
Norway,141818.0,120463.0,129372.0,105480.0,108781.0,135688.0,119369.0,133656.0,139044.0,125283.0,116739.0,120279.0,141724.0,128138.0,135470.0,137302.0,142807.0,142366.0,138981.36,125289.33,141804.76,143965.22,128239.82
Pakistan,18275.67,18159.6,20705.4,24916.09,26576.39,28265.55,31401.33,30307.23,28431.94,28362.0,30291.91,30372.78,29384.82,31102.91,32593.68,33859.6,33440.32,30419.14,30635.99,35987.31,39238.45,37532.93,36217.59
Panama,3418.05,2498.8,3404.76,2824.83,3780.52,3716.53,3572.73,3671.09,3924.59,3893.3,4190.09,4025.19,5322.87,5078.84,4907.43,6268.22,6375.38,7155.1,5696.01,5000.06,7225.73,8154.34,8133.86
Papua New Guinea,980.42,927.13,925.95,898.62,896.25,923.51,1026.65,953.74,986.5,947.3,979.34,897.02,933.62,959.91,874.92,816.83,816.83,752.81,846.91,1010.73,1010.73,1010.73,846.58
Paraguay,53481.4,45308.0,48202.7,51761.11,51979.03,51157.01,53773.34,53714.24,55455.09,54938.95,54064.77,57624.09,60231.54,60377.84,55276.43,55742.79,63770.15,59683.82,59210.94,49445.48,46371.04,40574.3,43879.4
Peru,16175.4,17590.3,18053.6,18543.0,17510.6,18000.7,19602.3,19559.0,19092.4,19904.0,20011.89,21517.09,21913.14,22230.28,20876.46,23584.97,20876.2,28921.38,30547.82,31322.92,30474.62,31890.0,29708.12
Philippines,7328.2,6623.6,6543.37,7370.62,7663.08,7565.57,9084.21,7803.03,9644.13,9253.97,7324.21,9459.53,9885.73,9530.11,8462.87,7943.08,7388.92,8888.8,8661.76,7303.49,6470.02,8463.32,9363.0
Poland,2106.0,2325.0,2279.0,1671.0,2081.74,2201.11,2042.32,2352.14,2152.16,2375.13,2919.94,2331.38,2036.75,2439.12,2182.45,1832.2,2139.45,2559.58,1970.0,1958.42,2118.34,2339.18,1968.19
Portugal,11323.0,14034.0,7800.0,15723.0,9869.0,4730.66,11002.18,10091.97,6799.05,8284.27,16147.9,11539.21,5622.72,13730.42,15568.91,8660.51,15723.32,5896.88,12393.35,8817.71,12082.58,11907.54,6536.02
Puerto Rico,119.5,119.5,115.0,119.5,119.5,140.39,119.5,119.5,119.5,119.5,91.0,145.7,86.4,83.2,81.2,55.9,71.2,50.9,38.2,41.0,50.5,39.71,44.74
Romania,14778.0,14923.0,16046.0,13259.0,16513.05,20206.85,18355.34,15965.96,17195.75,15533.9,19882.88,14727.8,12066.36,14956.36,18804.58,16632.08,18028.23,14494.46,17664.21,15580.62,15381.24,17411.94,13976.67
