Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
French Guiana,13.76,0.0,-79.76,74.0,15.06,113.05,-41.0,3.0,-148.7,118.7,40.2,106.3,-72.7,17.1,-4.9,-59.74,126.84,-28.38,-124.2,31.19,178.54
French Polynesia,6.84,-34.66,4.39,32.35,-8.14,13.13,14.85,-15.98,-2.92,57.46,-30.86,-10.72,-4.0,24.24,4.66,17.99,-4.91,-9.65,-2.01,2.51,-54.86
Gabon,0.09,63.35,13.29,-461.0,15.57,58.58,36.4,67.24,-21.2,-37.04,-67.08,68.08,27.63,-141.76,125.5,-96.69,93.0,67.0,0.0,0.54,0.0
Gambia,0.02,0.09,0.22,0.3,0.4,0.13,0.7,0.38,0.62,0.24,1.7,0.21,0.35,0.12,0.1,0.02,0.0,0.0,0.8,0.0,-0.11
Georgia,-345.91,1176.11,-214.3,-469.4,2.6,-628.8,1429.57,337.84,247.99,1957.9,-1482.44,-671.95,1050.7,64.13,118.42,885.0,-39.88,736.1,-1015.03,-674.95,1943.83
Germany,2420.0,6582.0,2193.0,11287.0,5445.0,9109.0,16857.0,4915.0,1655.0,9242.0,18858.0,19005.0,9296.0,10187.0,26259.0,887.0,26651.0,5752.0,18257.0,11149.0,-20680.8
Ghana,-1.0,-1573.0,-1151.0,1395.0,349.0,-13.9,-1892.0,2475.2,681.0,118.0,566.0,510.0,165.2,164.97,-2537.87,-256.76,57.94,407.43,1259.96,47.9,294.01
Gibraltar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,-1001.9,680.0,2218.0,-7.48,549.28,1289.69,-2909.75,370.68,2413.04,2372.88,-2392.74,1996.97,4209.49,-2171.38,2671.07,42.98,-1091.79,2347.39,-51.77,1457.54,4582.43
Greenland,-14.47,13.61,9.75,9.44,10.89,-8.42,10.35,-1.24,56.64,32.1,42.16,8.2,34.98,15.31,27.29,-22.46,-12.53,30.55,-8.24,21.42,2.2
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.07,0.11,0.15,0.07,0.33,0.09,0.4,0.98,0.77,0.28,0.37,0.52,0.12
Guadeloupe,-13.58,29.79,4.15,34.99,40.59,-4.58,28.17,-15.11,-29.18,-41.23,54.27,65.08,32.86,18.02,-6.23,1.48,45.6,4.45,18.1,13.44,166.59
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.08,0.33,0.9,1.15,28.26,35.88,-3.63,11.57,3.0,3.0,3.0
Guatemala,-509.66,-173.42,426.45,1218.38,267.34,-316.16,-33.88,345.11,-679.48,1557.37,-144.32,697.25,614.05,431.82,-183.68,472.76,1092.65,302.69,-250.03,472.34,240.65
Guinea,41.0,43.0,-195.0,155.0,-95.13,0.0,0.0,41.57,-30.12,11.33,-60.21,76.25,-6.83,-56.45,451.79,197.05,128.52,-2.22,99.13,205.77,1151.59
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.39,0.0,0.0,0.0
Guyana,0.8,7.14,-2.11,0.94,-7.35,0.33,2.59,-6.55,34.79,21.35,0.16,-21.4,14.52,-5.19,-11.11,19.63,2.08,3.94,-10.6,1.46,-0.77
Haiti,0.0,-23.0,-5.0,5.0,5.0,6.0,-117.0,27.0,26.0,-29.54,-55.51,100.79,-79.53,-50.7,-6.51,-11.6,56.66,70.47,3.09,-0.02,0.2
Holy See,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,-360.61,-289.85,136.09,-316.23,350.17,375.85,202.68,149.45,485.1,262.49,12.37,233.48,-59.3,-96.63,790.87,706.62,905.46,725.61,-407.92,-277.44,1362.91
Hungary,14.0,-20.0,99.0,599.23,935.02,-377.14,390.18,473.04,538.53,125.17,-311.86,-62.33,141.42,363.76,78.01,28.98,221.99,286.0,924.0,839.0,1386.0
Iceland,350.0,381.0,84.0,125.72,61.56,1244.99,2047.01,4491.81,367.34,224.97,150.9,338.27,564.76,9.37,675.93,-247.81,690.98,592.17,-340.38,-361.94,487.5
