Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Greece,-1596.0,703.0,1966.0,-93.99,345.26,847.81,-3273.66,720.87,2040.27,2122.19,-3463.58,381.35,1954.4,-1868.6,1619.87,-555.55,-1580.09,1780.9,-1743.85,-655.91,2559.78,-2048.28
Greenland,-14.28,14.28,9.18,8.16,11.1,-7.14,9.0,-1.18,57.61,30.77,42.0,6.56,32.94,18.86,26.5,-21.95,-12.51,29.39,-8.98,21.69,2.1,34.05
Guadeloupe,-2.23,8.91,-1.25,10.3,-2.03,-4.98,0.68,1.44,0.15,-5.59,-0.85,-0.8,5.34,7.59,-5.66,12.95,3.87,2.37,3.81,-18.79,-13.91,1.04
Guatemala,-409.32,-154.19,394.87,1279.0,15.0,-265.0,-526.0,644.0,-732.0,907.0,326.0,281.83,195.9,194.42,-973.36,99.5,1814.04,-574.35,-809.85,1435.41,143.75,981.93
Guinea,41.0,43.0,-195.0,155.0,-95.13,0.0,0.0,41.57,-31.05,11.33,-60.21,76.22,-6.04,-56.45,451.78,196.82,128.21,-21.5,98.07,204.82,1151.07,302.51
Guyana,0.13,0.27,0.28,-2.64,0.27,0.27,0.27,0.27,0.28,0.27,0.27,0.27,0.27,0.28,0.13,0.0,0.0,0.01,0.02,0.01,0.0,0.0
Haiti,0.0,-23.0,-5.0,5.0,5.0,6.0,-117.0,27.0,26.0,-30.0,-56.0,100.0,-80.0,-51.0,-7.0,-12.0,56.0,70.0,3.0,0.0,0.26,0.0
Honduras,-360.27,-294.01,119.46,-339.3,316.7,351.8,144.4,76.9,505.5,283.75,-274.79,-22.41,-43.78,-124.79,-256.3,-117.44,729.24,269.05,-818.16,276.06,1063.15,118.25
Hong Kong SAR,,,,,,,,,,,,,,0.43,0.0,0.0,1.14,0.22,0.01,-1.57,0.0,0.0
Hungary,8.0,8.0,-23.0,33.68,-2.53,-16.4,24.24,2.96,15.34,-39.91,33.65,-9.09,0.19,88.35,-67.77,25.61,-39.32,2.0,-3.0,25.0,-32.0,-34.0
Iceland,222.0,399.0,111.0,46.24,-114.95,273.71,1100.74,4033.69,-148.09,312.74,-85.24,-170.31,526.31,10.18,907.75,-311.17,589.12,-245.03,-352.22,-304.5,647.03,391.72
India,-191.61,-2987.28,-4390.83,10142.12,10953.93,18030.26,9756.28,2590.02,-8653.41,-1558.85,12547.71,8420.88,-7140.59,14860.81,-5302.39,-5351.12,1190.58,5291.32,12901.15,15131.49,-3125.29,3972.46
Indonesia,1644.15,-1722.79,-834.0,576.66,1054.12,-1103.67,1666.72,243.44,-142.04,6086.64,-5043.66,381.88,4132.34,-1761.93,-1420.75,4948.17,-45.45,2954.43,-476.0,3164.0,372.0,2598.0
Iran,1407.0,2993.0,3044.0,-467.0,5458.0,2084.0,-182.0,-13234.0,2454.0,2316.0,2535.0,389.0,2023.0,-608.0,225.0,2332.0,-1367.99,714.09,15237.9,-8996.0,-8324.0,0.0
Iraq,7.0,31.0,-216.0,60.0,4471.0,6.0,-422.0,-1063.0,-255.65,1539.0,-626.0,252.15,364.64,-1825.99,-384.66,825.09,-1195.15,-358.38,3145.56,-801.63,-815.85,-695.13
Ireland,-251.0,316.0,-314.0,32.0,1.26,93.01,-57.69,301.74,-66.59,-302.5,107.46,95.66,-202.85,109.15,97.84,-125.46,10.57,2.49,192.49,46.08,-183.24,-48.22
Israel,-21.0,11.0,10.0,-3.0,0.0,-13.0,-1.0,2.0,6.0,7.0,-1.0,-4.87,4.57,-15.0,11.8,,,,,,,
Italy,2610.82,-7290.91,-2849.56,5668.08,-6271.15,927.58,-4179.08,8807.73,7514.52,1979.28,-5294.04,-3947.83,10898.51,5772.04,-13008.12,-3105.56,-6233.05,12587.7,-2467.88,1233.25,-2163.62,-16990.58
