Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Germany,6.15,6.46,7.58,7.66,9.38,10.18,11.33,13.93,14.7,16.08,16.61,20.23,22.77,23.85,25.89,29.12,29.16,33.09,34.67,39.6,43.7,39.23,0.0
Ghana,91.52,84.12,69.3,66.14,87.47,82.96,66.69,53.47,74.47,76.81,68.86,67.55,67.16,64.04,64.8,51.02,43.07,40.27,37.39,40.3,36.58,34.8,0.0
Greece,8.47,6.63,7.76,11.04,10.87,11.66,13.64,8.47,9.02,13.31,18.35,13.7,16.64,25.11,24.13,28.63,27.36,24.97,30.32,33.1,36.38,40.46,0.0
Greenland,94.38,52.69,54.17,55.95,31.2,48.11,42.78,44.65,43.03,54.35,64.14,65.79,65.66,72.93,73.91,75.33,75.29,71.25,72.56,74.97,74.33,77.04,0.0
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.2,0.25,0.33,0.37,0.54,0.58,0.75,1.16,1.47,1.54,1.63,1.97,1.97,0.0
Guadeloupe,9.48,7.94,9.95,9.81,11.9,14.1,13.52,14.62,13.65,11.72,8.65,12.06,15.59,17.45,18.45,17.84,17.59,20.53,21.39,22.16,23.45,33.84,0.0
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.09,0.15,1.8,3.82,3.57,4.29,4.47,4.7,4.8,0.0
Guatemala,59.6,52.93,41.84,48.17,58.9,61.02,54.89,50.82,54.98,45.85,63.73,62.76,66.54,67.48,68.29,61.92,62.85,71.37,65.08,62.77,76.9,73.31,0.0
Guinea,55.97,57.26,58.62,46.35,61.46,60.76,63.09,64.69,74.35,70.34,77.4,75.95,67.73,74.1,60.3,78.87,67.95,69.3,63.29,63.89,61.84,88.13,0.0
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,1.99,1.99,7.08,7.08,7.08,7.08,0.0
Guyana,4.45,4.42,5.15,5.49,5.37,6.0,5.91,5.95,5.01,8.06,9.77,9.37,7.23,8.45,7.84,6.74,7.84,7.82,7.92,7.11,7.23,7.11,0.0
Haiti,51.74,47.64,47.53,47.66,47.53,47.66,47.54,32.91,37.24,28.71,30.21,12.51,20.22,13.55,8.93,8.26,6.84,12.37,19.2,19.2,18.2,18.22,0.0
Honduras,60.35,48.06,38.78,42.12,30.85,32.78,36.53,37.34,38.28,44.97,47.88,44.44,44.96,41.88,39.02,43.92,48.04,54.87,63.21,54.88,56.55,62.69,0.0
Hungary,0.69,0.71,0.66,0.98,2.77,5.23,4.16,4.71,5.89,8.06,8.08,7.52,7.64,9.2,10.72,10.64,10.21,10.57,11.74,13.68,15.83,19.14,0.0
Iceland,99.93,99.95,99.93,99.93,99.95,99.94,99.96,99.97,99.99,99.99,99.99,99.99,99.98,99.97,99.98,99.98,99.98,99.99,99.99,99.99,99.98,99.99,0.0
India,13.77,13.68,12.93,11.89,13.17,14.52,16.53,17.2,17.02,15.71,15.23,15.89,16.45,15.63,16.58,15.24,14.01,14.63,15.65,17.03,18.44,18.89,0.0
Indonesia,19.99,20.92,18.59,16.89,16.82,17.07,15.36,16.39,16.92,16.48,19.54,15.9,14.92,15.8,14.52,13.84,15.41,16.27,16.98,16.14,18.03,18.1,0.0
Iran,2.92,3.91,5.73,7.23,6.39,9.07,9.5,8.89,2.31,3.36,4.18,5.12,0.71,5.61,5.14,5.11,5.78,5.02,5.37,9.55,7.01,4.19,0.0
Iraq,1.92,1.92,1.92,1.53,1.53,16.94,16.19,14.17,9.48,7.01,9.75,7.64,9.55,8.22,4.41,3.79,4.28,2.61,2.64,5.99,5.27,5.27,0.0
