Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.18,0.35,1.37,3.06,5.95,9.68,14.49,30.8,73.5,245.13,353.67
Eswatini,0.0,0.0,0.0,0.01,0.07,0.17,0.22,0.32,0.36,0.4,0.9,1.07,1.11,1.14,1.17,1.17,1.27,1.29,1.31,1.28,1.27,1.2
Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.85,2.17,5.79,15.6,18.04,20.84,22.38,19.75,19.75,32.3,33.9
Falkland Islands (Malvinas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Faroe Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.18
Fiji,0.1,0.1,0.1,0.15,0.05,0.15,0.19,0.19,0.23,0.26,0.37,0.37,1.22,1.82,2.56,5.17,7.82,10.2,10.96,11.08,11.54,11.92
Finland,1.58,1.72,1.86,2.1,2.36,2.63,3.38,3.81,3.94,4.32,4.74,5.3,5.75,6.45,7.75,11.31,22.07,48.51,90.22,147.18,218.47,297.52
France,5.22,6.16,7.1,7.77,8.45,10.5,12.1,17.57,41.69,173.97,620.0,2333.81,4427.94,5193.6,6391.62,7753.82,8659.96,9586.61,10924.92,12329.8,13458.5,15732.44
French Guiana,0.18,0.18,0.18,0.18,0.18,0.23,0.28,0.28,0.28,2.58,3.38,37.38,52.28,44.28,52.28,54.28,52.46,52.13,51.66,50.82,55.51,56.54
French Polynesia,0.7,0.89,1.06,1.31,1.6,1.96,2.34,2.69,3.13,3.4,4.4,9.7,14.0,18.0,27.3,31.9,32.9,35.6,37.4,40.0,41.6,3.8
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.14,0.14,0.68,0.68
Gambia,0.0,0.02,0.11,0.33,0.63,1.03,1.16,1.86,2.24,2.59,2.83,2.96,3.17,3.23,3.36,3.45,3.47,3.47,3.47,4.27,4.27,4.16
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.68,1.28,3.56,6.0,23.32
Germany,60.0,116.0,188.0,313.0,557.0,1282.0,2220.0,3075.0,4420.0,6583.0,11729.0,19599.0,26380.0,31010.0,36056.0,38726.0,38098.0,39401.0,43459.0,44383.0,49496.0,49340.0
Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,10.57,15.67,41.82,44.77,50.95,75.91,82.81,148.83
Gibraltar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,0.0,0.1,0.1,0.1,0.78,0.95,1.39,1.42,5.24,50.0,157.75,610.31,1693.99,3648.1,3791.88,3899.64,3929.72,3991.48,3790.65,4428.51,4446.85,5250.98
Greenland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.3,0.52
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.18,0.29,0.44,0.51,0.84,0.94,1.34,2.31,3.08,3.37,3.73,4.25,4.37
Guadeloupe,0.0,0.0,0.0,0.0,0.0,0.29,0.98,1.99,2.96,5.05,17.32,33.36,91.83,98.64,102.73,101.52,93.85,93.33,98.14,102.86,107.2,113.8
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.16,0.24,0.57,1.47,2.62,30.88,66.34,62.63,74.2,77.2,80.2,83.2
Guatemala,0.08,0.16,0.22,0.24,0.28,0.33,0.39,0.43,0.56,0.67,0.84,1.08,2.12,3.56,14.65,160.8,203.34,209.74,219.85,244.94,233.05,241.14
Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.92,0.92,0.96,0.17,0.17,0.17,0.41,0.72,20.0,21.07,22.02,22.52
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.89,1.89,1.89,1.89
Guyana,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.1,0.13,0.25,2.72,2.78,2.94,3.09,6.82,7.17,9.33,13.53,13.45,14.36,13.59
Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.95,1.74,2.21,2.51,3.0,3.4,4.06,4.5,4.56,4.54,4.47
Holy See,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,2.21,2.35,2.61,2.84,3.11,3.48,3.83,4.21,4.46,4.66,5.0,5.67,6.66,7.12,7.12,429.92,889.28,929.34,998.5,1126.61,1066.86,1087.6
Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.55,0.65,0.85,1.44,7.91,24.62,67.0,141.0,244.0,349.0,629.0,1497.0,2459.0,3796.0
Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.71,0.88,1.96,2.73,3.35,4.08,5.42,5.42,5.42
India,1.46,7.75,9.33,10.92,10.54,18.14,15.49,39.55,42.46,51.08,69.75,313.98,979.54,1689.16,3104.37,5984.16,10186.29,18135.08,31106.33,43933.24,54729.2,65941.66
Indonesia,0.68,1.64,2.3,3.03,2.68,2.79,4.45,11.46,19.2,27.11,29.45,32.59,47.9,64.51,72.39,88.94,104.96,115.12,91.0,118.0,171.0,192.62
Iran,0.0,0.01,0.01,0.01,0.01,0.01,0.08,0.13,0.2,0.31,0.67,0.7,0.72,0.7,0.68,1.49,4.98,85.8,221.82,510.47,583.87,583.87
Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.32,57.3,57.3,57.3,57.3,376.54,376.54,376.54,376.54
